Date,SPDR Gold Shares,Lion-OCBC Securities Singapore Low Carbon ETF,Lion-OCBC Securities Hang Seng TECH ETF,Nikko AM Singapore STI ETF,iShares MSCI India Climate Transition ETF,CSOP FTSE Asia Pacific Low Carbon Index ETF,Xtrackers MSCI China UCITS ETF 1C,Lion-OCBC Securities China Leaders ETF,NikkoAM-StraitsTrading MSCI China Electric Vehicles and Future Mobile ETF,CSOP CSI STAR and CHINEXT 50 index ETF
2023-04-21 00:00:00+08:00,184.86000061035156,0.900788426399231,0.6549999713897705,3.0720903873443604,14.020000457763672,1.5230000019073486,20.010000228881836,1.5320099592208862,0.5519999861717224,0.9929999709129333
2023-04-24 00:00:00+08:00,184.4199981689453,0.8962618708610535,0.6489999890327454,3.0812337398529053,14.100000381469727,1.5230000019073486,19.780000686645508,1.517911672592163,0.5429999828338623,0.9750000238418579
2023-04-25 00:00:00+08:00,184.92999267578125,0.8926405906677246,0.6299999952316284,3.0538041591644287,14.229999542236328,1.5230000019073486,19.360000610351562,1.499113917350769,0.527999997138977,0.9539999961853027
2023-04-26 00:00:00+08:00,185.55999755859375,0.8926405906677246,0.6399999856948853,3.0538041591644287,14.210000038146973,1.5230000019073486,19.59000015258789,1.5160318613052368,0.5450000166893005,0.9520000219345093
2023-04-27 00:00:00+08:00,185.6300048828125,0.8790609240531921,0.6349999904632568,3.044661283493042,14.289999961853027,1.5230000019073486,19.59000015258789,1.5085128545761108,0.5440000295639038,0.9599999785423279
2023-04-28 00:00:00+08:00,184.35000610351562,0.8790609240531921,0.6430000066757202,3.044661283493042,14.4399995803833,1.5230000019073486,19.729999542236328,1.5310699939727783,0.5479999780654907,0.9729999899864197
2023-05-02 00:00:00+08:00,184.1999969482422,0.8844926953315735,0.6439999938011169,3.0629475116729736,14.569999694824219,1.5230000019073486,19.760000228881836,1.5103925466537476,0.5400000214576721,0.9739999771118164
2023-05-03 00:00:00+08:00,187.30999755859375,0.8817768692970276,0.6320000290870667,3.044661283493042,14.489999771118164,1.5230000019073486,19.420000076293945,1.5009937286376953,0.5350000262260437,0.9729999899864197
2023-05-04 00:00:00+08:00,189.1300048828125,0.8826821446418762,0.6349999904632568,3.044661283493042,14.420000076293945,1.5230000019073486,19.65999984741211,1.5113325119018555,0.5440000295639038,0.9549999833106995
2023-05-05 00:00:00+08:00,189.50999450683594,0.8826821446418762,0.6380000114440918,3.0538041591644287,14.510000228881836,1.5230000019073486,19.700000762939453,1.5132122039794922,0.5350000262260437,0.9440000057220459
2023-05-08 00:00:00+08:00,187.8699951171875,0.8899246454238892,0.6420000195503235,3.069347858428955,14.550000190734863,1.5230000019073486,19.860000610351562,1.533889651298523,0.5400000214576721,0.9449999928474426
2023-05-09 00:00:00+08:00,187.97999572753906,0.8962618708610535,0.621999979019165,3.0592901706695557,14.65999984741211,1.5230000019073486,19.670000076293945,1.5122722387313843,0.5339999794960022,0.9359999895095825
2023-05-10 00:00:00+08:00,187.8800048828125,0.8962618708610535,0.6259999871253967,3.0510613918304443,14.550000190734863,1.5230000019073486,19.469999313354492,1.5094525814056396,0.5479999780654907,0.9290000200271606
2023-05-11 00:00:00+08:00,187.8800048828125,0.8935458660125732,0.6359999775886536,3.044661283493042,14.640000343322754,1.5230000019073486,19.350000381469727,1.5094525814056396,0.5600000023841858,0.9309999942779541
2023-05-12 00:00:00+08:00,186.5,0.8962618708610535,0.6370000243186951,3.0245463848114014,14.649999618530273,1.5230000019073486,19.600000381469727,1.4859555959701538,0.5479999780654907,0.9369999766349792
2023-05-15 00:00:00+08:00,187.47999572753906,0.900788426399231,0.6470000147819519,3.027289390563965,14.960000038146973,1.5230000019073486,19.579999923706055,1.5235509872436523,0.5640000104904175,0.9369999766349792
2023-05-16 00:00:00+08:00,186.6999969482422,0.900788426399231,0.6499999761581421,3.029118061065674,14.850000381469727,1.5290000438690186,19.860000610351562,1.5047532320022583,0.5630000233650208,0.9369999766349792
2023-05-17 00:00:00+08:00,184.47000122070312,0.8727236390113831,0.6439999938011169,2.9980311393737793,14.800000190734863,1.5290000438690186,19.969999313354492,1.485015869140625,0.5600000023841858,0.9399999976158142
2023-05-18 00:00:00+08:00,183.5399932861328,0.8844926953315735,0.6489999890327454,3.0117459297180176,14.800000190734863,1.5410000085830688,19.889999389648438,1.502873420715332,0.5609999895095825,0.9409999847412109
2023-05-19 00:00:00+08:00,182.5800018310547,0.8835874199867249,0.6389999985694885,3.0172317028045654,14.739999771118164,1.5490000247955322,19.459999084472656,1.4906550645828247,0.5580000281333923,0.9409999847412109
2023-05-22 00:00:00+08:00,183.9600067138672,0.8835874199867249,0.6480000019073486,3.035517930984497,14.670000076293945,1.5490000247955322,19.790000915527344,1.5132122039794922,0.5600000023841858,0.9369999766349792
2023-05-23 00:00:00+08:00,182.00999450683594,0.8835874199867249,0.6420000195503235,3.042832612991333,14.819999694824219,1.562000036239624,19.739999771118164,1.492534875869751,0.5600000023841858,0.9350000023841858
2023-05-24 00:00:00+08:00,183.69000244140625,0.8835874199867249,0.6290000081062317,3.0227179527282715,14.84000015258789,1.5509999990463257,19.200000762939453,1.4652782678604126,0.5550000071525574,0.9279999732971191
2023-05-25 00:00:00+08:00,182.5,0.8754396438598633,0.6169999837875366,3.018146276473999,14.899999618530273,1.5509999990463257,18.799999237060547,1.447420358657837,0.546999990940094,0.9290000200271606
2023-05-26 00:00:00+08:00,181.44000244140625,0.8718183040618896,0.6129999756813049,3.0263750553131104,14.989999771118164,1.5509999990463257,18.6200008392334,1.447420358657837,0.5360000133514404,0.9350000023841858
